Country,1970,2015,1970,2015,GDP Per Capita 1970,GDP Per Capita 2015,GDP Growth,Scaled GDP
Sao Tome and Principe,206.9154968,778.4281006,0.074564,0.199432,2775.005322,3903.225664,0.658215703,6.670483144
Suriname,3023.678467,8119.711426,0.367931,0.559143,8218.058459,14521.70809,1.100843359,24.81711727
Sweden,191171.0156,492281.8438,8.054916,9.76495,23733.45863,50413.14536,1.459326762,86.15439263
Eswatini,961.4353027,9038.087891,0.431253,1.104044,2229.399686,8186.347546,2.532962259,13.99019632
Seychelles,282.8097229,2056.493652,0.052368,0.094978,5400.430089,21652.31582,2.706425685,37.00308929
Syrian Arab Republic,32547.84375,120401.4219,6.350541,17.997408,5125.208033,6689.931232,0.513685012,11.43287049
Turks and Caicos Islands,13.91291142,531.4906006,0.005841,0.035981,2381.939979,14771.42382,3.571489497,25.24387318
Chad,4478.439941,24967.375,3.643604,14.110975,1229.123676,1769.358602,0.703067017,3.023775141
Togo,3913.70166,13649.65527,2.115522,7.323158,1849.993363,1863.902878,0.014405959,3.185348172
Thailand,92785.52344,1072781.25,36.884536,68.714511,2515.567051,15612.14996,3.573027127,26.68064624
Trinidad and Tobago,10499.89941,39444.85938,0.94536,1.370328,11106.77352,28784.97657,1.848215109,49.19256983
Tunisia,16045.15039,120881.8984,5.063809,11.179949,3168.593126,10812.38371,2.388470906,18.47800499
Turkey,261567.6719,1943386.625,34.876303,78.529409,7499.868087,24747.24628,2.322381492,42.29222275
Taiwan,51189.92188,1012657.375,14.582944,23.462914,3510.259785,43159.91505,4.943746357,73.7588627
U.R. of Tanzania: Mainland,15131.59375,107090.3047,13.535481,50.04145,1117.920652,2140.032007,1.256580191,3.657243691
Uganda,11271.03711,73999.73438,9.4056,38.225453,1198.332601,1935.87593,0.926629973,3.308347729
Uruguay,22251.91602,67911.11719,2.809793,3.412009,7919.41471,19903.55746,1.78806942,34.01451927
United States,5332994.5,18776158,209.513341,320.87831,25454.20007,58514.88684,1.613651033,100
St. Vincent and the Grenadines,280.236084,1104.79248,0.090509,0.109148,3096.223403,10121.96724,2.30407556,17.29810615
Venezuela (Bolivarian Republic of),6807.240234,18251.25586,11.396393,30.081829,597.315329,606.7202848,0.030048179,1.036864835
British Virgin Islands,62.16141129,981.1020508,0.009827,0.029152,6325.573551,33654.70811,3.266747447,57.51477944
Viet Nam,42713.88672,570513,43.404793,92.677076,984.0822584,6155.923607,3.588782155,10.52026918
South Africa,234686.5938,713048.8125,22.069776,55.386367,10633.84575,12874.08529,0.368319884,22.00138457
Zambia,12818.77734,49650.38672,4.179067,15.879361,3067.377801,3126.724477,0.036858529,5.343468382
Zimbabwe,10259.08301,42008.19922,5.289303,13.814629,1939.590719,3040.848887,0.868479851,5.196709848
